Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
CBSNews,Tue Aug 14 06:48:03 +0000 2018,Steel companies benefiting from Trump's tariffs https://t.co/j3JRyotj5A https://t.co/yisQJv9MPT,0.0,0.0,0.0,1.0,23
CBSNews,Tue Aug 14 06:33:03 +0000 2018,Trump touts accomplishments at fundraiser for GOP congresswoman in New York https://t.co/8XbfbSpaq5 https://t.co/wvvGSWg4lS,-0.0258,0.0,0.084,0.916,22
CBSNews,Tue Aug 14 06:18:04 +0000 2018,"""Faking the charm"": Chris O'Dowd on ""Get Shorty"" and ""Juliet, Naked"" https://t.co/uI7kvXWThv https://t.co/6YLM7TM0UF",-0.4215,0.0,0.189,0.811,21
CBSNews,Tue Aug 14 06:03:03 +0000 2018,Millions on East Coast under flood advisories https://t.co/KNbqer8zEf https://t.co/54mqWPMIaB,0.0,0.0,0.0,1.0,20
CBSNews,Tue Aug 14 05:48:03 +0000 2018,S.C.'s GOP lawmakers feel heat for supporting Trump's tariffs https://t.co/YI20uOW2G4 https://t.co/8O7iMNZJlb,0.4404,0.225,0.0,0.775,19
CBSNews,Tue Aug 14 05:33:03 +0000 2018,Elon Musk talking to Saudi investors about taking Tesla private https://t.co/gj9I53uivw https://t.co/dgUYG5yqkm,0.0,0.0,0.0,1.0,18
CBSNews,Tue Aug 14 05:18:03 +0000 2018,"Al Franken's Senate seat up for grabs in wake of #MeToo, and what else to watch in politics this week… https://t.co/pQNaBFAUIy",0.0,0.0,0.0,1.0,17
CBSNews,Tue Aug 14 05:03:04 +0000 2018,Primary election 2018: Connecticut's race for governor heats up https://t.co/lEiYwbfO9I https://t.co/tHiDxrNg10,0.0,0.0,0.0,1.0,16
CBSNews,Tue Aug 14 04:48:03 +0000 2018,Stephen Miller's uncle criticizes his nephew on immigration https://t.co/BMl8NbuTX0 https://t.co/1hl2XYWCMS,-0.34,0.0,0.211,0.789,15
CBSNews,Tue Aug 14 04:33:03 +0000 2018,"University of Maryland places head football coach on leave after allegations of abuse, intimidation… https://t.co/yEDakIhehB",-0.6597,0.0,0.293,0.707,14
CBSNews,Tue Aug 14 04:18:03 +0000 2018,Fidelity offers new zero-cost mutual funds – should you switch? https://t.co/dcqjhEp0TY https://t.co/iKjHYPQCFh,0.0,0.0,0.0,1.0,13
CBSNews,Tue Aug 14 04:08:27 +0000 2018,"Firefighter dies battling massive blaze in Northern California, officials say https://t.co/bfa2hOXcuI https://t.co/OqBoH7wsz4",-0.2732,0.0,0.16,0.84,12
CBSNews,Tue Aug 14 04:03:04 +0000 2018,"U.S. downplays ""failed"" Taliban siege as 100 Afghan forces killed https://t.co/QOvHreCNVE https://t.co/aeDY5EJMaP",-0.6705,0.0,0.29,0.71,11
CBSNews,Tue Aug 14 03:48:03 +0000 2018,"Trump says ""Apprentice"" producer told him there's no ""N-word"" tape https://t.co/ogT8bxtI5G https://t.co/gHqcAJ4Giq",-0.296,0.0,0.167,0.833,10
CBSNews,Tue Aug 14 03:38:34 +0000 2018,"Trump says ""Apprentice"" producer told him there's no ""N-word"" tape https://t.co/1PmihbuZUi https://t.co/h9ziV3QNUt",-0.296,0.0,0.167,0.833,9
CBSNews,Tue Aug 14 03:33:03 +0000 2018,Indiana moms demand answers amid spate of kids' cancer cases https://t.co/StH8uTDxoi https://t.co/Vj3eV7lFsh,-0.7096,0.0,0.371,0.629,8
CBSNews,Tue Aug 14 03:18:04 +0000 2018,Arizona woman missing for 9 days after sending her roommate a text message https://t.co/1qvPT98pcu https://t.co/h5HshDwtHF,-0.296,0.0,0.155,0.845,7
CBSNews,Tue Aug 14 03:03:03 +0000 2018,Commentary: Alexandria Ocasio-Cortez becomes the Sarah Palin of the Left https://t.co/sVFAkGmG3a https://t.co/0l6ieBwyaS,0.0,0.0,0.0,1.0,6
CBSNews,Tue Aug 14 02:39:52 +0000 2018,"Disney slammed after reportedly casting straight actor as ""hugely effete, very camp and very funny"" gay character i… https://t.co/UlyEdqKPVG",0.624,0.231,0.0,0.769,5
CBSNews,Tue Aug 14 02:20:25 +0000 2018,"A woman who had her hands and legs amputated beats the odds of her condition, walking down the aisle on her wedding… https://t.co/VCdCQinxrx",0.0,0.0,0.0,1.0,4
CBSNews,Tue Aug 14 01:59:50 +0000 2018,Google knows where you've been. This is how to scrub the evidence of your last late-night pizza run… https://t.co/3MndYRQrAn,0.0,0.0,0.0,1.0,3
CBSNews,Tue Aug 14 01:00:00 +0000 2018,3-year-old boy found at apocalyptic-looking New Mexico compound died in religious ritual https://t.co/Zc8vXaLAdF https://t.co/vMEQfn0Npw,-0.5574,0.0,0.217,0.783,2
CBSNews,Tue Aug 14 00:39:35 +0000 2018,"Woman convicted in fiancé's death, in which she pulled the plug on his kayak and watched him drown, is entitled to… https://t.co/jObTGQk4Sw",-0.7579,0.073,0.265,0.662,1
CNN,Tue Aug 14 18:20:09 +0000 2018,Aides to President Trump questioned him during the 2016 campaign about the existence of an audio tape in which he p… https://t.co/i71OkltD9O,-0.1027,0.0,0.062,0.938,100
CNN,Tue Aug 14 18:10:00 +0000 2018,McDonald's iconic Happy Meal has been evolving since it was introduced nearly 40 years ago. Some of the options hav… https://t.co/cfusdx11pq,0.5719,0.156,0.0,0.844,99
